Open,High,Low,Close,Time
194.08,194.71,193.88,194.04,2024-03-31 04:15:00
194.03,195.14,193.73,195.09,2024-03-31 04:30:00
195.09,195.61,194.36,195.17,2024-03-31 04:45:00
195.16,195.32,194.57,195.11,2024-03-31 05:00:00
195.1,196.74,194.84,196.49,2024-03-31 05:15:00
196.49,196.52,195.51,195.73,2024-03-31 05:30:00
195.73,196.39,195.66,196.18,2024-03-31 05:45:00
196.17,196.17,195.31,195.41,2024-03-31 06:00:00
195.42,195.52,193.26,193.39,2024-03-31 06:15:00
193.39,194.61,193.39,193.94,2024-03-31 06:30:00
193.93,194.51,193.82,194.2,2024-03-31 06:45:00
194.19,195.61,194.07,195.54,2024-03-31 07:00:00
195.54,196.11,195.14,196.1,2024-03-31 07:15:00
196.1,196.1,195.26,195.81,2024-03-31 07:30:00
195.81,195.83,195.03,195.24,2024-03-31 07:45:00
195.23,196.15,194.44,195.91,2024-03-31 08:00:00
195.91,196.1,195.17,195.95,2024-03-31 08:15:00
195.93,196.27,195.41,196.13,2024-03-31 08:30:00
196.13,197.24,196.06,196.87,2024-03-31 08:45:00
196.87,197.31,196.27,197.08,2024-03-31 09:00:00
197.08,197.1,196.54,196.9,2024-03-31 09:15:00
196.91,196.91,195.72,195.76,2024-03-31 09:30:00
195.76,195.88,195.17,195.54,2024-03-31 09:45:00
195.53,195.77,194.74,194.81,2024-03-31 10:00:00
194.8,194.87,193.69,194.21,2024-03-31 10:15:00
194.21,195.03,194.21,194.66,2024-03-31 10:30:00
194.66,194.77,194.16,194.29,2024-03-31 10:45:00
194.3,194.64,194.09,194.59,2024-03-31 11:00:00
194.6,194.84,194.0,194.84,2024-03-31 11:15:00
194.85,195.31,194.74,194.97,2024-03-31 11:30:00
194.97,195.59,194.57,195.4,2024-03-31 11:45:00
195.41,196.3,195.18,196.3,2024-03-31 12:00:00
196.29,196.59,195.88,196.21,2024-03-31 12:15:00
196.21,196.3,195.67,195.94,2024-03-31 12:30:00
195.94,196.7,195.93,196.51,2024-03-31 12:45:00
196.51,196.56,195.67,195.76,2024-03-31 13:00:00
195.77,195.98,195.36,195.56,2024-03-31 13:15:00
195.56,195.91,195.4,195.45,2024-03-31 13:30:00
195.46,195.7,194.76,195.02,2024-03-31 13:45:00
195.03,195.46,194.82,195.38,2024-03-31 14:00:00
195.39,195.93,195.31,195.86,2024-03-31 14:15:00
195.86,196.05,195.35,195.81,2024-03-31 14:30:00
195.82,197.34,195.59,196.74,2024-03-31 14:45:00
196.75,197.21,196.74,196.89,2024-03-31 15:00:00
196.88,197.14,196.03,196.31,2024-03-31 15:15:00
196.31,196.71,196.16,196.22,2024-03-31 15:30:00
196.23,197.15,196.09,197.02,2024-03-31 15:45:00
197.02,197.1,196.14,196.27,2024-03-31 16:00:00
196.26,196.56,195.7,196.42,2024-03-31 16:15:00
196.42,196.63,195.98,196.63,2024-03-31 16:30:00
196.63,196.88,196.44,196.6,2024-03-31 16:45:00
196.61,196.82,196.52,196.82,2024-03-31 17:00:00
196.82,197.01,196.73,196.78,2024-03-31 17:15:00
196.78,196.88,196.27,196.65,2024-03-31 17:30:00
196.65,196.85,195.98,195.99,2024-03-31 17:45:00
195.98,196.54,195.98,196.5,2024-03-31 18:00:00
196.5,196.57,196.01,196.04,2024-03-31 18:15:00
196.03,196.04,195.43,195.78,2024-03-31 18:30:00
195.78,196.15,195.51,195.83,2024-03-31 18:45:00
195.83,196.61,195.82,196.6,2024-03-31 19:00:00
196.6,196.81,195.85,196.09,2024-03-31 19:15:00
196.09,196.42,195.63,195.71,2024-03-31 19:30:00
195.71,196.33,195.66,196.33,2024-03-31 19:45:00
196.33,196.78,196.08,196.62,2024-03-31 20:00:00
196.62,196.76,196.45,196.76,2024-03-31 20:15:00
196.76,197.38,196.63,197.08,2024-03-31 20:30:00
197.08,197.66,196.69,197.02,2024-03-31 20:45:00
197.02,197.42,196.34,197.03,2024-03-31 21:00:00
197.04,197.1,196.46,196.86,2024-03-31 21:15:00
196.86,196.88,196.44,196.47,2024-03-31 21:30:00
196.47,196.67,196.09,196.32,2024-03-31 21:45:00
196.32,196.36,195.84,195.93,2024-03-31 22:00:00
195.94,196.19,195.51,195.94,2024-03-31 22:15:00
195.93,196.18,195.63,195.66,2024-03-31 22:30:00
195.65,195.8,195.46,195.69,2024-03-31 22:45:00
195.69,196.09,195.53,196.09,2024-03-31 23:00:00
196.08,196.21,195.51,195.8,2024-03-31 23:15:00
195.8,196.5,195.72,196.4,2024-03-31 23:30:00
196.4,196.74,196.24,196.36,2024-03-31 23:45:00
196.35,197.0,196.19,196.88,2024-04-01 00:00:00
196.88,197.08,196.55,197.02,2024-04-01 00:15:00
197.03,197.1,196.71,196.89,2024-04-01 00:30:00
196.89,197.19,196.8,196.88,2024-04-01 00:45:00
196.87,196.92,196.23,196.4,2024-04-01 01:00:00
196.41,197.01,196.05,197.0,2024-04-01 01:15:00
197.0,197.96,196.91,197.91,2024-04-01 01:30:00
197.9,199.33,197.88,198.33,2024-04-01 01:45:00
198.33,199.76,197.81,199.61,2024-04-01 02:00:00
199.62,201.0,199.49,199.99,2024-04-01 02:15:00
199.99,200.28,199.43,200.19,2024-04-01 02:30:00
200.18,200.72,199.46,200.13,2024-04-01 02:45:00
200.13,200.36,199.77,199.98,2024-04-01 03:00:00
199.99,200.47,198.93,199.17,2024-04-01 03:15:00
199.17,199.3,198.45,198.68,2024-04-01 03:30:00
198.68,199.93,198.68,199.43,2024-04-01 03:45:00
199.43,199.52,199.05,199.14,2024-04-01 04:00:00
199.15,199.19,198.52,198.77,2024-04-01 04:15:00
198.77,199.39,198.62,199.28,2024-04-01 04:30:00
199.28,199.76,199.25,199.7,2024-04-01 04:45:00
199.7,199.98,199.53,199.74,2024-04-01 05:00:00
199.74,200.7,199.74,200.66,2024-04-01 05:15:00
200.66,201.0,199.9,200.46,2024-04-01 05:30:00
200.45,200.63,199.97,200.62,2024-04-01 05:45:00
200.62,200.92,200.2,200.88,2024-04-01 06:00:00
200.88,202.28,200.71,202.08,2024-04-01 06:15:00
202.08,203.17,201.69,203.0,2024-04-01 06:30:00
203.01,203.12,202.28,202.45,2024-04-01 06:45:00
202.45,202.45,201.42,201.72,2024-04-01 07:00:00
201.72,202.18,201.62,201.9,2024-04-01 07:15:00
201.89,201.99,200.93,200.97,2024-04-01 07:30:00
200.97,202.07,200.82,201.99,2024-04-01 07:45:00
202.0,202.86,202.0,202.55,2024-04-01 08:00:00
202.54,204.23,202.27,204.15,2024-04-01 08:15:00
204.15,204.46,202.7,202.7,2024-04-01 08:30:00
202.71,203.18,201.93,203.1,2024-04-01 08:45:00
203.1,203.61,202.35,202.5,2024-04-01 09:00:00
202.5,203.43,202.48,203.39,2024-04-01 09:15:00
203.38,203.47,202.38,203.11,2024-04-01 09:30:00
203.12,203.17,202.62,202.67,2024-04-01 09:45:00
202.68,203.32,202.52,202.52,2024-04-01 10:00:00
202.52,202.75,201.37,201.6,2024-04-01 10:15:00
201.59,202.32,201.35,202.1,2024-04-01 10:30:00
202.1,203.0,202.04,202.58,2024-04-01 10:45:00
202.57,203.49,202.51,203.43,2024-04-01 11:00:00
203.43,203.53,202.01,202.4,2024-04-01 11:15:00
202.41,203.3,201.95,202.52,2024-04-01 11:30:00
202.52,202.7,199.82,201.08,2024-04-01 11:45:00
201.09,201.54,199.99,200.64,2024-04-01 12:00:00
200.66,201.0,199.76,199.86,2024-04-01 12:15:00
199.85,199.9,198.65,199.25,2024-04-01 12:30:00
199.25,199.4,193.25,194.74,2024-04-01 12:45:00
194.74,196.68,194.1,196.46,2024-04-01 13:00:00
196.48,197.55,196.0,196.62,2024-04-01 13:15:00
196.62,197.98,196.1,197.7,2024-04-01 13:30:00
197.7,198.44,197.31,198.21,2024-04-01 13:45:00
198.21,199.3,198.05,198.99,2024-04-01 14:00:00
199.0,199.24,198.34,199.08,2024-04-01 14:15:00
199.08,199.19,197.77,198.23,2024-04-01 14:30:00
198.24,198.63,197.88,197.96,2024-04-01 14:45:00
197.96,197.96,196.1,196.41,2024-04-01 15:00:00
196.41,197.05,195.78,196.18,2024-04-01 15:15:00
196.18,197.3,195.31,197.25,2024-04-01 15:30:00
197.26,197.29,196.16,196.45,2024-04-01 15:45:00
196.46,197.86,196.41,197.68,2024-04-01 16:00:00
197.67,198.0,197.24,197.46,2024-04-01 16:15:00
197.46,197.87,197.18,197.33,2024-04-01 16:30:00
197.32,197.85,196.67,196.67,2024-04-01 16:45:00
196.68,197.31,196.6,196.95,2024-04-01 17:00:00
196.95,196.96,194.73,195.2,2024-04-01 17:15:00
195.2,195.76,194.78,195.45,2024-04-01 17:30:00
195.45,196.54,195.41,196.45,2024-04-01 17:45:00
196.45,197.23,196.28,197.23,2024-04-01 18:00:00
