Open,High,Low,Close,Time,ATR,highest,lowest,longStop,longStopPrev,shortStop,shortStopPrev
198.68,199.93,198.68,199.43,2024-04-01 03:45:00,2.5,199.43,199.43,196.97999999999996,196.97999999999996,200.38000000000005,200.38000000000005
199.43,199.52,199.05,199.14,2024-04-01 04:00:00,0.9399999999999977,199.14,199.14,198.2,196.93,200.07999999999998,201.93
199.15,199.19,198.52,198.77,2024-04-01 04:15:00,1.339999999999975,198.77,198.77,198.2,198.2,200.07999999999998,200.07999999999998
198.77,199.39,198.62,199.28,2024-04-01 04:30:00,1.5399999999999636,199.28,199.28,197.74000000000004,197.43000000000004,200.10999999999999,200.10999999999999
199.28,199.76,199.25,199.7,2024-04-01 04:45:00,1.0199999999999818,199.7,199.7,198.68,197.74000000000004,200.71999999999997,200.81999999999996
199.7,199.98,199.53,199.74,2024-04-01 05:00:00,0.8999999999999773,199.74,199.74,198.84000000000003,198.68,200.64,200.71999999999997
199.74,200.7,199.74,200.66,2024-04-01 05:15:00,1.919999999999959,200.66,200.66,198.84000000000003,198.84000000000003,200.64,200.64
200.66,201.0,199.9,200.46,2024-04-01 05:30:00,2.1999999999999886,200.46,200.46,198.74000000000004,198.74000000000004,202.57999999999996,202.57999999999996
200.45,200.63,199.97,200.62,2024-04-01 05:45:00,1.3199999999999932,200.62,200.62,199.3,198.26000000000002,201.94,202.66
200.62,200.92,200.2,200.88,2024-04-01 06:00:00,1.4399999999999977,200.88,200.88,199.44,199.3,201.94,201.94
200.88,202.28,200.71,202.08,2024-04-01 06:15:00,3.1399999999999864,202.08,202.08,199.44,199.44,202.32,202.32
202.08,203.17,201.69,203.0,2024-04-01 06:30:00,2.9599999999999795,203.0,203.0,200.04000000000002,198.94000000000003,205.22,205.22
203.01,203.12,202.28,202.45,2024-04-01 06:45:00,1.6800000000000068,202.45,202.45,200.76999999999998,200.04000000000002,204.13,205.95999999999998
202.45,202.45,201.42,201.72,2024-04-01 07:00:00,2.0600000000000023,201.72,201.72,200.76999999999998,200.76999999999998,203.78,204.13
201.72,202.18,201.62,201.9,2024-04-01 07:15:00,1.1200000000000045,201.9,201.9,200.78,199.66,203.02,203.78
201.89,201.99,200.93,200.97,2024-04-01 07:30:00,2.1200000000000045,200.97,200.97,200.78,200.78,203.02,203.02
200.97,202.07,200.82,201.99,2024-04-01 07:45:00,2.5,201.99,201.99,199.49,198.85,203.09,203.09
202.0,202.86,202.0,202.55,2024-04-01 08:00:00,1.740000000000009,202.55,202.55,200.81,199.49,204.29000000000002,204.49
202.54,204.23,202.27,204.15,2024-04-01 08:15:00,3.919999999999959,204.15,204.15,200.81,200.81,204.29000000000002,204.29000000000002
204.15,204.46,202.7,202.7,2024-04-01 08:30:00,3.5200000000000387,202.7,202.7,200.23000000000005,200.23000000000005,206.22000000000003,208.06999999999996
202.71,203.18,201.93,203.1,2024-04-01 08:45:00,2.5,203.1,203.1,200.6,199.17999999999995,205.6,206.22000000000003
203.1,203.61,202.35,202.5,2024-04-01 09:00:00,2.5200000000000387,202.5,202.5,200.6,200.6,205.02000000000004,205.6
202.5,203.43,202.48,203.39,2024-04-01 09:15:00,1.900000000000034,203.39,203.39,201.48999999999995,199.97999999999996,205.02000000000004,205.02000000000004
203.38,203.47,202.38,203.11,2024-04-01 09:30:00,2.180000000000007,203.11,203.11,201.48999999999995,201.48999999999995,205.29000000000002,205.29000000000002
203.12,203.17,202.62,202.67,2024-04-01 09:45:00,1.099999999999966,202.67,202.67,201.57000000000002,200.93,203.76999999999995,205.29000000000002
202.68,203.32,202.52,202.52,2024-04-01 10:00:00,1.599999999999966,202.52,202.52,201.57000000000002,201.57000000000002,203.76999999999995,203.76999999999995
202.52,202.75,201.37,201.6,2024-04-01 10:15:00,2.759999999999991,201.6,201.6,200.92000000000004,200.92000000000004,204.11999999999998,204.11999999999998
201.59,202.32,201.35,202.1,2024-04-01 10:30:00,1.9399999999999977,202.1,202.1,200.16,198.84,204.04,204.35999999999999
202.1,203.0,202.04,202.58,2024-04-01 10:45:00,1.920000000000016,202.58,202.58,200.66,200.16,204.04,204.04
202.57,203.49,202.51,203.43,2024-04-01 11:00:00,1.9600000000000364,203.43,203.43,201.46999999999997,200.66,204.50000000000003,204.50000000000003
203.43,203.53,202.01,202.4,2024-04-01 11:15:00,3.0400000000000205,202.4,202.4,201.46999999999997,201.46999999999997,205.39000000000004,205.39000000000004
202.41,203.3,201.95,202.52,2024-04-01 11:30:00,2.7000000000000455,202.52,202.52,199.81999999999996,199.35999999999999,205.22000000000006,205.44000000000003
202.52,202.7,199.82,201.08,2024-04-01 11:45:00,5.759999999999991,201.08,201.08,199.81999999999996,199.81999999999996,205.22000000000006,205.22000000000006
201.09,201.54,199.99,200.64,2024-04-01 12:00:00,3.099999999999966,200.64,200.64,197.54000000000002,195.32000000000002,203.73999999999995,206.84
200.66,201.0,199.76,199.86,2024-04-01 12:15:00,2.480000000000018,199.86,199.86,197.54000000000002,197.54000000000002,202.34000000000003,203.73999999999995
199.85,199.9,198.65,199.25,2024-04-01 12:30:00,2.5,199.25,199.25,197.38,197.38,201.75,202.34000000000003
199.25,199.4,193.25,194.74,2024-04-01 12:45:00,12.300000000000011,194.74,194.74,196.75,196.75,201.75,201.75
194.74,196.68,194.1,196.46,2024-04-01 13:00:00,5.160000000000025,196.46,196.46,191.29999999999998,182.44,201.62000000000003,207.04000000000002
196.48,197.55,196.0,196.62,2024-04-01 13:15:00,3.1000000000000227,196.62,196.62,193.51999999999998,191.29999999999998,199.72000000000003,201.62000000000003
196.62,197.98,196.1,197.7,2024-04-01 13:30:00,3.759999999999991,197.7,197.7,193.94,193.51999999999998,199.72000000000003,199.72000000000003
197.7,198.44,197.31,198.21,2024-04-01 13:45:00,2.259999999999991,198.21,198.21,195.95000000000002,193.94,200.47,201.45999999999998
198.21,199.3,198.05,198.99,2024-04-01 14:00:00,2.5,198.99,198.99,196.49,195.95000000000002,200.47,200.47
